Time,total GB/s read,total GB/s write
2018-07-01T01:56:00+01:00,0.011,-0.164
2018-07-01T05:48:00+01:00,0.02,-0.143
2018-07-01T09:40:00+01:00,0.219,-0.452
2018-07-01T13:32:00+01:00,0.298,-0.443
2018-07-01T17:24:00+01:00,0.308,-0.571
2018-07-01T21:16:00+01:00,0.257,-0.661
2018-07-02T01:08:00+01:00,0.22,-0.604
2018-07-02T05:00:00+01:00,0.265,-0.499
2018-07-02T08:52:00+01:00,0.298,-0.453
2018-07-02T12:44:00+01:00,0.503,-0.508
2018-07-02T16:36:00+01:00,0.373,-0.832
2018-07-02T20:28:00+01:00,0.364,-1.04
2018-07-03T00:20:00+01:00,0.452,-0.819
2018-07-03T04:12:00+01:00,0.283,-0.458
2018-07-03T08:04:00+01:00,0.328,-0.697
2018-07-03T11:56:00+01:00,0.439,-0.771
2018-07-03T15:48:00+01:00,0.126,-1.482
2018-07-03T19:40:00+01:00,0.1,-1.267
2018-07-03T23:32:00+01:00,0.064,-1.015
2018-07-04T03:24:00+01:00,0.054,-0.796
2018-07-04T07:16:00+01:00,0.262,-0.541
2018-07-04T11:08:00+01:00,0.298,-0.509
2018-07-04T15:00:00+01:00,0.667,-0.322
2018-07-04T18:52:00+01:00,0.06,-0.223
2018-07-04T22:44:00+01:00,0.032,-0.225
2018-07-05T02:36:00+01:00,0.04,-0.218
2018-07-05T06:28:00+01:00,0.081,-0.252
2018-07-05T10:20:00+01:00,0.202,-0.411
2018-07-05T14:12:00+01:00,0.138,-0.282
2018-07-05T18:04:00+01:00,0.101,-0.248
2018-07-05T21:56:00+01:00,0.101,-0.252
2018-07-06T01:48:00+01:00,0.061,-0.179
2018-07-06T05:40:00+01:00,0.182,-0.181
2018-07-06T09:32:00+01:00,0.26,-0.338
2018-07-06T13:24:00+01:00,0.128,-0.298
2018-07-06T17:16:00+01:00,0.075,-0.133
2018-07-06T21:08:00+01:00,0.059,-0.166
2018-07-07T01:00:00+01:00,0.065,-0.174
2018-07-07T04:52:00+01:00,0.035,-0.116
2018-07-07T08:44:00+01:00,0.033,-0.128
2018-07-07T12:36:00+01:00,0.03,-0.137
2018-07-07T16:28:00+01:00,0.019,-0.127
2018-07-07T20:20:00+01:00,0.017,-0.116
2018-07-08T00:12:00+01:00,0.008,-0.082
2018-07-08T04:04:00+01:00,0.007,-0.072
2018-07-08T07:56:00+01:00,0.05,-0.075
2018-07-08T11:48:00+01:00,0.021,-0.082
2018-07-08T15:40:00+01:00,0.042,-0.084
2018-07-08T19:32:00+01:00,0.028,-0.086
2018-07-08T23:24:00+01:00,0.035,-0.108
2018-07-09T03:16:00+01:00,0.03,-0.115
2018-07-09T07:08:00+01:00,0.195,-0.127
2018-07-09T11:00:00+01:00,0.171,-0.302
2018-07-09T14:52:00+01:00,0.17,-1.014
2018-07-09T18:44:00+01:00,0.142,-0.987
2018-07-09T22:36:00+01:00,0.119,-1.082
2018-07-10T02:28:00+01:00,0.05,-0.896
2018-07-10T06:20:00+01:00,0.094,-0.959
2018-07-10T10:12:00+01:00,0.264,-0.932
2018-07-10T14:04:00+01:00,0.267,-0.809
2018-07-10T17:56:00+01:00,0.26,-0.733
2018-07-10T21:48:00+01:00,0.067,-0.696
2018-07-11T01:40:00+01:00,0.112,-0.777
2018-07-11T05:32:00+01:00,0.155,-0.785
2018-07-11T09:24:00+01:00,0.669,-0.76
2018-07-11T13:16:00+01:00,0.122,-0.596
2018-07-11T17:08:00+01:00,0.384,-1.048
2018-07-11T21:00:00+01:00,0.508,-2.276
2018-07-12T00:52:00+01:00,0.281,-2.107
2018-07-12T04:44:00+01:00,0.22,-2.439
2018-07-12T08:36:00+01:00,0.36,-3.523
2018-07-12T12:28:00+01:00,0.264,-0.916
2018-07-12T16:20:00+01:00,0.369,-0.836
2018-07-12T20:12:00+01:00,0.408,-1.002
2018-07-13T00:04:00+01:00,0.381,-0.897
