Time,total GB/s read,total GB/s write
2018-07-01T01:56:00+01:00,3.845,-0.301
2018-07-01T05:48:00+01:00,0.968,-0.493
2018-07-01T09:40:00+01:00,2.503,-0.554
2018-07-01T13:32:00+01:00,4.451,-0.369
2018-07-01T17:24:00+01:00,1.602,-0.588
2018-07-01T21:16:00+01:00,5.119,-0.36
2018-07-02T01:08:00+01:00,2.085,-0.402
2018-07-02T05:00:00+01:00,3.194,-0.44
2018-07-02T08:52:00+01:00,2.183,-0.184
2018-07-02T12:44:00+01:00,0.614,-0.351
2018-07-02T16:36:00+01:00,0.157,-0.487
2018-07-02T20:28:00+01:00,0.802,-0.571
2018-07-03T00:20:00+01:00,0.564,-0.577
2018-07-03T04:12:00+01:00,0.735,-0.601
2018-07-03T08:04:00+01:00,0.754,-0.523
2018-07-03T11:56:00+01:00,0.545,-0.32
2018-07-03T15:48:00+01:00,0.675,-0.512
2018-07-03T19:40:00+01:00,0.398,-0.492
2018-07-03T23:32:00+01:00,0.65,-0.444
2018-07-04T03:24:00+01:00,0.115,-0.255
2018-07-04T07:16:00+01:00,0.082,-0.135
2018-07-04T11:08:00+01:00,0.115,-0.188
2018-07-04T15:00:00+01:00,0.47,-0.371
2018-07-04T18:52:00+01:00,0.906,-0.46
2018-07-04T22:44:00+01:00,0.749,-0.493
2018-07-05T02:36:00+01:00,0.813,-0.256
2018-07-05T06:28:00+01:00,0.921,-0.259
2018-07-05T10:20:00+01:00,0.694,-0.357
2018-07-05T14:12:00+01:00,0.899,-0.419
2018-07-05T18:04:00+01:00,0.809,-0.274
2018-07-05T21:56:00+01:00,0.28,-0.449
2018-07-06T01:48:00+01:00,0.147,-0.386
2018-07-06T05:40:00+01:00,0.874,-0.641
2018-07-06T09:32:00+01:00,1.144,-0.501
2018-07-06T13:24:00+01:00,0.998,-0.334
2018-07-06T17:16:00+01:00,0.677,-0.33
2018-07-06T21:08:00+01:00,1.345,-0.522
2018-07-07T01:00:00+01:00,1.738,-0.513
2018-07-07T04:52:00+01:00,1.209,-1.394
2018-07-07T08:44:00+01:00,1.405,-1.117
2018-07-07T12:36:00+01:00,1.32,-0.439
